shipment_id,date,region,transport_mode,product_category,distance_km,shipment_volume_units,weight_kg,delivery_time_days,estimated_delivery_days,delay_days,transport_cost,on_time
S00070,2026-12-01,East,Road,Grocery,565.1,30.4,20.9,4.05,5.19,-1.14,344.93,1
S00071,2026-02-01,South,Air,Industrial,612.7,35.7,31.3,3.1,4.04,-0.95,440.61,1
S00072,2026-09-01,South,Rail,Apparel,142.9,10.6,13.5,4.93,5.89,-0.96,200.79,1
S00073,2026-09-01,Central,Road,Apparel,882.4,31.1,16.8,5.59,5.58,0.01,395.32,0
S00074,2026-08-01,South,Sea,Industrial,612.6,14.2,7.1,6.91,7.87,-0.97,198.07,1
S00075,2026-11-01,North,Air,Apparel,535.0,20.3,8.9,4.1,2.81,1.28,345.77,0
S00076,2026-01-01,South,Road,Grocery,615.6,50.5,84.9,4.51,6.08,-1.57,532.44,1
S00077,2026-04-01,South,Road,Industrial,494.4,33.9,28.4,5.32,6.23,-0.91,282.86,1
S00078,2026-03-01,West,Road,Electronics,378.2,33.7,44.6,5.11,5.55,-0.45,387.52,1
S00079,2026-07-01,East,Rail,Apparel,72.3,69.5,124.0,3.7,4.51,-0.81,477.09,1
S00080,2026-08-01,West,Road,Electronics,441.4,12.7,17.0,5.78,4.84,0.93,170.19,0
S00081,2026-11-01,West,Road,Apparel,132.1,10.6,12.0,4.05,4.57,-0.52,124.08,1
S00082,2026-05-01,South,Sea,Electronics,1226.9,12.6,14.2,9.79,9.79,0.01,178.77,0
S00083,2026-03-01,West,Sea,Furniture,373.9,17.0,15.8,6.38,7.04,-0.66,211.61,1
S00084,2026-12-01,North,Air,Electronics,1214.3,5.0,6.2,5.14,5.12,0.03,454.25,0
S00085,2026-09-01,North,Sea,Furniture,446.4,17.6,30.6,4.95,6.59,-1.64,213.98,1
S00086,2026-10-01,North,Air,Apparel,262.3,14.1,21.2,1.24,3.48,-2.24,274.01,1
S00087,2026-06-01,West,Air,Apparel,867.0,33.4,33.2,5.84,5.11,0.73,502.73,0
S00088,2026-06-01,East,Air,Apparel,521.2,25.3,21.9,3.84,2.93,0.91,359.53,0
S00089,2026-05-01,North,Road,Furniture,1493.4,13.6,22.3,5.77,7.85,-2.08,371.06,1
S00090,2026-09-01,East,Road,Grocery,257.4,29.5,17.4,4.14,5.64,-1.5,248.41,1
S00091,2026-03-01,North,Road,Apparel,889.2,32.1,51.1,2.4,5.43,-3.02,503.09,1
S00092,2026-12-01,West,Rail,Industrial,918.0,12.2,9.2,6.13,7.56,-1.43,261.44,1
S00093,2026-03-01,East,Road,Grocery,644.9,14.6,20.4,6.19,5.58,0.61,257.75,0
S00094,2026-06-01,South,Road,Electronics,922.6,5.0,7.6,6.21,7.11,-0.9,242.89,1
S00095,2026-04-01,South,Rail,Industrial,379.8,9.9,10.6,5.8,6.45,-0.65,163.29,1
S00096,2026-08-01,West,Road,Apparel,220.3,12.4,8.3,0.7,5.38,-4.68,176.21,1
S00097,2026-09-01,South,Road,Electronics,279.6,21.1,33.4,4.09,5.32,-1.23,225.54,1
S00098,2026-12-01,North,Air,Grocery,426.3,10.9,9.9,2.91,3.82,-0.92,283.0,1
S00099,2026-10-01,North,Air,Electronics,665.8,14.4,12.2,3.73,3.79,-0.06,326.24,1
S00100,2026-03-01,Central,Road,Apparel,232.1,9.1,10.1,4.55,3.87,0.68,126.56,0
S00101,2026-03-01,Central,Road,Furniture,323.8,22.4,22.7,3.34,3.96,-0.63,259.25,1
S00102,2026-11-01,West,Road,Electronics,246.2,26.5,35.9,3.98,3.98,0.0,219.56,0
S00103,2026-06-01,South,Air,Furniture,740.4,26.1,15.4,2.59,5.09,-2.5,464.41,1
S00104,2026-02-01,Central,Air,Industrial,1208.5,20.2,20.4,4.2,6.18,-1.98,567.52,1
S00105,2026-10-01,West,Road,Grocery,192.5,7.4,12.2,2.46,4.96,-2.51,82.99,1
S00106,2026-08-01,West,Air,Furniture,582.1,13.4,6.0,1.21,4.56,-3.35,327.39,1
S00107,2026-01-01,East,Road,Furniture,798.1,15.4,16.0,4.06,5.91,-1.85,236.07,1
S00108,2026-10-01,South,Road,Industrial,357.2,15.5,20.5,6.68,5.37,1.31,243.47,0
S00109,2026-08-01,North,Sea,Apparel,138.2,21.1,34.6,4.55,6.08,-1.53,193.37,1
S00110,2026-08-01,Central,Road,Electronics,862.0,50.7,62.5,5.37,6.8,-1.43,565.11,1
S00111,2026-11-01,East,Road,Grocery,131.0,34.1,52.9,2.92,5.01,-2.09,324.0,1
S00112,2026-06-01,South,Road,Grocery,1018.3,10.6,7.5,4.39,7.73,-3.34,269.38,1
S00113,2026-06-01,South,Rail,Electronics,242.4,31.2,27.9,6.44,5.99,0.45,187.73,0
S00114,2026-08-01,East,Sea,Grocery,114.9,30.5,52.3,2.4,5.92,-3.52,229.18,1
S00115,2026-03-01,North,Sea,Electronics,294.9,11.9,19.5,4.63,5.64,-1.02,119.3,1
S00116,2026-02-01,Central,Road,Industrial,403.8,34.9,41.2,3.75,3.8,-0.04,394.42,1
S00117,2026-11-01,West,Road,Apparel,462.0,18.1,19.3,5.07,4.92,0.15,248.71,0
S00118,2026-03-01,West,Air,Electronics,613.2,8.0,8.3,2.7,4.33,-1.63,343.72,1
S00119,2026-07-01,East,Road,Electronics,489.6,27.0,13.0,2.26,5.11,-2.85,279.43,1
S00120,2026-04-01,West,Air,Apparel,1149.5,23.1,38.1,4.09,5.06,-0.97,568.82,1
S00121,2026-03-01,East,Rail,Apparel,391.1,17.3,26.8,4.15,5.77,-1.62,210.54,1
S00122,2026-08-01,West,Road,Electronics,506.6,19.6,20.4,3.94,5.45,-1.51,303.41,1
S00123,2026-10-01,North,Air,Apparel,479.5,12.6,10.0,3.84,2.75,1.1,300.36,0
S00124,2026-06-01,South,Road,Electronics,103.1,29.9,26.3,2.57,4.6,-2.03,205.64,1
S00125,2026-02-01,North,Road,Apparel,165.0,19.5,11.2,3.73,3.9,-0.16,252.75,1
S00126,2026-03-01,East,Rail,Apparel,427.4,22.4,31.6,5.39,5.58,-0.19,231.84,1
S00127,2026-02-01,South,Road,Apparel,546.9,25.3,29.9,6.52,6.48,0.04,288.9,0
S00128,2026-11-01,North,Rail,Apparel,69.4,9.5,6.9,3.73,3.64,0.09,40.0,0
S00129,2026-04-01,North,Rail,Electronics,1181.4,11.2,14.3,7.97,6.69,1.28,285.31,0
S00130,2026-05-01,East,Sea,Electronics,575.3,5.0,8.9,6.18,7.1,-0.92,149.27,1
S00131,2026-01-01,North,Sea,Electronics,411.5,29.0,16.6,6.19,6.39,-0.21,249.72,1
S00132,2026-06-01,Central,Road,Furniture,558.5,9.1,9.5,2.37,5.15,-2.78,204.68,1
S00133,2026-11-01,East,Road,Industrial,282.9,21.9,23.9,0.7,4.42,-3.72,217.23,1
S00134,2026-05-01,South,Rail,Industrial,465.3,25.6,16.2,6.36,6.13,0.23,236.18,0
S00135,2026-08-01,East,Sea,Grocery,514.6,29.7,34.0,6.77,6.93,-0.16,287.09,1
S00136,2026-03-01,North,Road,Grocery,868.3,9.2,11.5,5.91,5.79,0.12,298.58,0
S00137,2026-02-01,Central,Road,Apparel,367.8,19.3,11.9,3.07,5.2,-2.13,223.7,1
S00138,2026-09-01,East,Road,Furniture,134.1,59.5,36.7,5.43,4.11,1.32,422.53,0
S00139,2026-01-01,West,Road,Furniture,215.9,61.2,97.9,3.52,4.77,-1.25,454.95,1
S00140,2026-06-01,North,Rail,Industrial,347.7,38.2,31.9,5.19,6.6,-1.41,286.8,1
S00141,2026-04-01,East,Road,Industrial,146.9,25.0,32.1,4.35,4.21,0.14,240.0,0
S00142,2026-01-01,East,Air,Apparel,198.3,10.5,13.4,4.3,3.13,1.17,143.7,0
S00143,2026-07-01,Central,Air,Furniture,217.5,32.0,50.5,1.31,2.73,-1.42,330.65,1
S00144,2026-12-01,East,Air,Furniture,331.7,18.1,26.0,1.7,3.59,-1.88,224.57,1
S00145,2026-01-01,East,Road,Apparel,570.5,28.9,45.6,2.91,5.63,-2.72,301.03,1
S00146,2026-10-01,South,Road,Industrial,320.8,13.3,17.0,6.63,5.49,1.14,129.73,0
S00147,2026-07-01,South,Air,Electronics,595.2,18.0,18.5,4.38,4.6,-0.22,351.34,1
S00148,2026-09-01,East,Air,Industrial,411.7,22.3,21.3,3.31,3.16,0.15,376.24,0
S00149,2026-02-01,East,Road,Furniture,203.5,23.6,21.9,7.66,4.63,3.03,225.07,0
S00150,2026-11-01,North,Air,Electronics,520.2,27.7,27.3,3.15,4.46,-1.31,406.11,1
S00151,2026-01-01,Central,Road,Furniture,469.2,13.8,8.0,2.38,5.31,-2.93,304.83,1
S00152,2026-11-01,Central,Air,Electronics,605.1,8.4,8.3,2.54,3.63,-1.1,324.21,1
S00153,2026-08-01,North,Road,Furniture,684.7,57.7,54.6,3.58,5.93,-2.35,467.27,1
S00154,2026-05-01,East,Road,Furniture,885.0,101.3,45.4,5.16,5.92,-0.76,697.22,1
S00155,2026-01-01,North,Road,Grocery,582.7,26.9,21.1,4.02,5.09,-1.07,311.62,1
S00156,2026-08-01,West,Road,Industrial,459.2,8.5,12.3,4.04,5.95,-1.91,177.98,1
S00157,2026-02-01,South,Road,Electronics,606.9,12.2,14.7,3.74,6.93,-3.19,225.41,1
S00158,2026-08-01,West,Road,Apparel,298.9,28.0,42.7,6.32,4.64,1.68,316.18,0
S00159,2026-10-01,West,Road,Apparel,283.3,48.0,55.7,4.66,4.75,-0.08,414.8,1
S00160,2026-04-01,West,Air,Electronics,959.0,9.1,14.6,4.28,6.35,-2.07,375.09,1
S00161,2026-03-01,North,Road,Apparel,277.4,18.5,28.1,4.62,4.42,0.2,195.71,0
S00162,2026-03-01,Central,Rail,Apparel,221.7,22.8,12.3,4.7,5.73,-1.02,190.37,1
S00163,2026-03-01,South,Air,Apparel,582.5,35.2,62.3,4.16,4.62,-0.46,484.96,1
S00164,2026-02-01,North,Road,Apparel,300.7,16.1,6.8,4.59,4.56,0.03,241.49,0
S00165,2026-03-01,East,Road,Industrial,680.4,7.3,9.0,5.26,5.64,-0.38,326.48,1
S00166,2026-08-01,South,Air,Apparel,845.5,30.1,45.4,5.39,5.72,-0.33,497.04,1
S00167,2026-04-01,Central,Air,Industrial,245.4,41.7,36.1,2.72,3.16,-0.44,349.79,1
S00168,2026-10-01,West,Road,Apparel,627.2,19.0,23.6,5.45,5.42,0.02,306.83,0
S00169,2026-10-01,South,Air,Apparel,272.6,26.1,23.7,2.68,3.48,-0.8,269.86,1
S00170,2026-10-01,Central,Road,Grocery,352.9,14.8,7.2,5.59,4.84,0.76,200.35,0
S00171,2026-07-01,South,Road,Apparel,504.9,11.6,4.8,4.61,5.84,-1.23,202.1,1
S00172,2026-04-01,East,Air,Apparel,283.8,39.1,20.9,2.88,2.84,0.04,261.96,0
S00173,2026-12-01,South,Road,Grocery,475.9,25.8,13.9,5.64,6.33,-0.69,286.68,1
S00174,2026-03-01,Central,Air,Electronics,373.0,27.6,34.7,1.37,3.39,-2.01,334.8,1
S00175,2026-06-01,North,Road,Apparel,689.9,53.3,60.6,3.81,5.29,-1.48,524.07,1
S00176,2026-06-01,North,Air,Grocery,691.0,10.1,10.5,2.78,4.03,-1.25,347.48,1
S00177,2026-09-01,East,Road,Apparel,284.8,14.0,19.2,3.38,4.09,-0.71,154.88,1
S00178,2026-07-01,Central,Road,Industrial,512.3,22.3,9.4,2.3,4.38,-2.07,260.41,1
S00179,2026-10-01,Central,Road,Apparel,756.1,13.9,10.8,3.99,5.56,-1.58,203.69,1
S00180,2026-12-01,West,Road,Industrial,195.8,33.4,49.7,4.38,4.76,-0.38,250.53,1
S00181,2026-05-01,Central,Air,Furniture,371.4,17.8,29.8,3.71,2.35,1.37,314.94,0
S00182,2026-11-01,Central,Road,Industrial,498.1,10.5,10.7,4.78,4.43,0.35,206.42,0
S00183,2026-03-01,East,Road,Industrial,189.3,21.0,10.8,0.7,3.89,-3.19,238.78,1
S00184,2026-11-01,South,Road,Electronics,309.1,22.4,34.1,5.46,5.59,-0.13,183.31,1
S00185,2026-03-01,West,Road,Grocery,1077.9,36.9,60.4,5.8,6.21,-0.41,466.81,1
S00186,2026-11-01,West,Air,Electronics,276.8,25.9,25.4,3.24,2.86,0.37,278.79,0
S00187,2026-05-01,South,Road,Furniture,298.9,27.1,20.1,4.61,4.4,0.21,294.29,0
S00188,2026-12-01,North,Sea,Grocery,578.4,24.7,11.4,5.87,7.02,-1.15,260.27,1
S00189,2026-02-01,West,Road,Apparel,171.9,17.8,21.8,3.85,3.78,0.07,219.75,0
S00190,2026-06-01,South,Rail,Industrial,376.9,12.6,21.1,5.62,6.36,-0.74,238.59,1
S00191,2026-11-01,Central,Road,Electronics,223.4,24.2,32.7,5.0,4.84,0.16,230.89,0
S00192,2026-01-01,South,Road,Grocery,475.3,16.2,13.7,5.1,6.66,-1.56,285.32,1
S00193,2026-04-01,North,Air,Furniture,30.0,60.2,78.3,2.74,1.5,1.24,373.0,0
S00194,2026-02-01,Central,Sea,Electronics,433.7,48.1,75.2,6.68,6.35,0.33,339.97,0
S00195,2026-04-01,North,Air,Grocery,506.9,30.3,32.3,3.54,2.91,0.63,421.2,0
S00196,2026-05-01,North,Road,Furniture,314.7,25.7,39.8,1.54,3.88,-2.34,219.39,1
S00197,2026-08-01,East,Road,Electronics,328.5,19.0,18.0,5.51,4.76,0.75,248.04,0
S00198,2026-04-01,Central,Rail,Grocery,288.1,8.8,7.9,3.73,5.61,-1.89,151.41,1
S00199,2026-02-01,South,Road,Apparel,373.6,17.5,21.2,5.73,5.84,-0.11,269.22,1
S00200,2026-03-01,South,Air,Furniture,966.7,21.5,22.5,3.67,5.23,-1.56,494.58,1
S00201,2026-12-01,West,Rail,Electronics,703.2,23.3,41.2,4.77,7.31,-2.53,286.28,1
S00202,2026-12-01,Central,Rail,Industrial,373.4,27.3,30.6,7.01,4.12,2.89,275.09,0
S00203,2026-03-01,East,Air,Industrial,309.2,36.6,34.3,1.26,2.78,-1.52,337.23,1
S00204,2026-03-01,North,Rail,Electronics,662.9,12.8,12.2,6.97,5.83,1.14,186.06,0
S00205,2026-01-01,North,Road,Apparel,455.7,12.9,15.0,4.31,4.91,-0.59,237.89,1
S00206,2026-12-01,South,Road,Grocery,185.7,51.6,46.3,3.79,4.91,-1.12,369.19,1
S00207,2026-09-01,North,Rail,Furniture,344.8,33.2,46.8,4.6,5.29,-0.69,278.52,1
S00208,2026-10-01,West,Road,Apparel,905.3,15.6,14.5,4.39,6.63,-2.24,311.07,1
S00209,2026-04-01,North,Road,Electronics,564.1,18.7,17.6,4.45,5.18,-0.73,324.83,1
S00210,2026-08-01,East,Road,Electronics,311.5,18.8,23.7,2.71,5.04,-2.32,212.92,1
S00211,2026-01-01,West,Air,Industrial,126.4,20.5,9.9,1.76,3.03,-1.27,194.15,1
S00212,2026-09-01,East,Air,Apparel,473.8,27.3,36.0,4.07,3.47,0.6,313.63,0
S00213,2026-07-01,South,Rail,Industrial,413.2,104.3,115.5,6.07,6.65,-0.58,670.84,1
S00214,2026-04-01,West,Road,Grocery,365.6,22.7,23.5,2.66,5.63,-2.97,278.68,1
S00215,2026-09-01,West,Road,Industrial,667.5,30.9,43.5,6.42,5.78,0.64,391.07,0
S00216,2026-08-01,West,Road,Electronics,568.5,6.7,9.8,5.07,5.75,-0.68,213.68,1
S00217,2026-06-01,North,Road,Electronics,130.0,14.7,23.2,2.58,4.54,-1.96,210.23,1
S00218,2026-03-01,North,Rail,Industrial,414.8,44.6,41.3,5.79,5.0,0.78,373.74,0
S00219,2026-01-01,Central,Rail,Industrial,157.9,26.1,22.4,3.73,5.54,-1.81,260.76,1
S00220,2026-12-01,South,Road,Apparel,291.5,5.0,7.0,3.15,4.64,-1.49,184.68,1
S00221,2026-04-01,South,Road,Apparel,148.6,31.1,37.8,6.52,4.74,1.78,320.12,0
S00222,2026-04-01,East,Road,Apparel,152.9,69.9,89.8,3.6,3.85,-0.25,473.38,1
S00223,2026-09-01,West,Air,Apparel,511.4,5.5,6.5,3.22,5.11,-1.9,218.78,1
S00224,2026-04-01,Central,Rail,Electronics,479.6,53.9,79.9,4.33,5.28,-0.95,449.34,1
S00225,2026-05-01,South,Road,Industrial,394.7,5.0,3.3,6.37,5.35,1.03,193.36,0
S00226,2026-09-01,Central,Air,Apparel,274.0,37.0,43.5,1.21,2.38,-1.17,412.68,1
S00227,2026-08-01,North,Road,Furniture,139.8,20.0,12.4,1.36,4.04,-2.68,239.2,1
S00228,2026-08-01,East,Road,Electronics,292.5,5.0,4.9,3.16,4.55,-1.38,216.88,1
S00229,2026-01-01,West,Sea,Electronics,480.9,26.8,35.7,8.09,7.07,1.02,278.21,0
S00230,2026-06-01,North,Road,Furniture,473.9,42.4,46.3,5.26,3.15,2.1,388.99,0
S00231,2026-06-01,North,Road,Apparel,894.0,25.4,23.7,5.06,6.11,-1.05,314.73,1
S00232,2026-08-01,South,Rail,Furniture,817.6,29.4,48.1,8.59,7.58,1.01,340.32,0
S00233,2026-02-01,Central,Road,Electronics,405.1,15.4,22.8,4.76,5.04,-0.28,209.82,1
S00234,2026-02-01,East,Rail,Industrial,290.4,6.0,6.8,4.47,6.16,-1.69,141.87,1
S00235,2026-10-01,Central,Road,Furniture,227.6,31.5,54.5,3.12,3.94,-0.81,295.44,1
S00236,2026-09-01,West,Road,Industrial,122.6,62.6,62.3,4.25,4.95,-0.7,437.14,1
S00237,2026-10-01,East,Road,Electronics,171.7,41.9,62.9,2.64,3.83,-1.19,333.05,1
S00238,2026-04-01,West,Road,Apparel,481.4,5.5,3.5,4.84,5.92,-1.08,216.83,1
S00239,2026-12-01,North,Road,Apparel,593.2,7.5,6.0,4.93,4.96,-0.03,119.73,1
S00240,2026-04-01,North,Road,Grocery,331.9,11.6,10.1,1.71,3.93,-2.22,196.14,1
S00241,2026-08-01,Central,Air,Apparel,1463.5,7.1,3.9,4.93,5.77,-0.84,621.3,1
S00242,2026-02-01,West,Road,Electronics,173.0,20.7,22.8,3.6,5.38,-1.78,276.71,1
S00243,2026-12-01,South,Road,Apparel,112.7,25.9,17.4,5.4,4.9,0.49,245.64,0
S00244,2026-04-01,East,Road,Apparel,1448.3,7.9,10.2,4.92,8.67,-3.75,433.0,1
S00245,2026-10-01,East,Road,Apparel,134.3,33.3,22.2,3.1,3.9,-0.8,266.51,1
S00246,2026-04-01,Central,Road,Electronics,328.8,29.7,17.0,3.01,4.84,-1.83,275.64,1
S00247,2026-10-01,East,Rail,Apparel,241.6,14.1,24.7,5.87,5.05,0.83,197.32,0
S00248,2026-06-01,South,Road,Grocery,504.4,18.0,23.7,5.15,6.01,-0.87,259.26,1
S00249,2026-01-01,South,Air,Apparel,312.1,5.7,9.7,5.31,3.88,1.44,176.44,0
S00250,2026-03-01,East,Sea,Apparel,594.4,16.2,17.6,7.28,7.48,-0.2,186.12,1
S00251,2026-09-01,West,Road,Grocery,675.9,20.2,9.0,4.86,6.2,-1.34,250.32,1
S00252,2026-03-01,Central,Road,Furniture,121.6,22.4,27.0,3.34,3.37,-0.03,231.48,1
S00253,2026-04-01,East,Road,Apparel,222.1,25.7,30.4,3.37,4.96,-1.58,248.78,1
S00254,2026-07-01,South,Rail,Grocery,626.3,23.5,9.9,7.41,7.91,-0.49,240.65,1
S00255,2026-04-01,South,Road,Industrial,759.7,16.9,27.2,4.25,6.32,-2.07,283.41,1
S00256,2026-02-01,West,Air,Grocery,447.9,24.2,30.7,2.11,2.93,-0.81,364.68,1
S00257,2026-08-01,West,Air,Industrial,528.2,38.5,55.6,3.94,4.32,-0.38,483.49,1
S00258,2026-09-01,North,Air,Furniture,928.5,18.9,20.6,5.41,4.41,1.0,431.65,0
S00259,2026-09-01,North,Road,Electronics,314.8,24.7,31.3,1.02,4.41,-3.39,216.14,1
S00260,2026-12-01,East,Sea,Apparel,444.8,17.8,13.5,7.75,7.01,0.74,229.67,0
S00261,2026-02-01,North,Road,Furniture,818.2,13.2,23.3,5.0,5.64,-0.65,245.95,1
S00262,2026-06-01,Central,Road,Industrial,849.3,28.2,27.1,2.7,5.62,-2.92,389.34,1
S00263,2026-03-01,South,Road,Apparel,375.5,14.0,8.8,1.09,5.49,-4.4,263.77,1
S00264,2026-11-01,North,Sea,Electronics,227.4,25.8,12.3,3.22,6.57,-3.35,270.52,1
S00265,2026-07-01,Central,Rail,Grocery,372.7,20.5,26.4,4.51,5.25,-0.74,249.28,1
